trace_id,poly_l,coeff_i,k,z_pred_cls,z_pred_val,conf,z_conf,c_ok,z_ok,pair_ok
22578,3,2,770,2,-131072,2,0.99816,True,True,True
22579,3,2,770,3,-131073,1,0.9986,True,True,True
22580,3,2,770,0,131072,3,0.99995,True,True,True
22584,3,2,770,0,131072,1,0.99998,True,True,True
22588,3,2,770,0,131072,0,0.99869,True,True,True
22590,3,2,770,2,-131072,1,0.9984,True,True,True
22592,3,2,770,0,131072,0,0.99989,True,True,True
22599,3,3,771,3,-131073,0,0.99994,True,True,True
22600,3,2,770,0,131072,0,0.99918,True,True,True
22603,3,3,771,3,-131073,3,0.99924,True,True,True
22606,3,2,770,2,-131072,4,0.99905,True,True,True
22614,3,3,771,2,-131072,2,0.9996,True,True,True
22619,3,4,772,3,-131073,3,0.99846,True,True,True
22620,3,3,771,0,131072,0,0.99955,True,True,True
22625,3,5,773,1,131071,4,0.99942,True,True,True
22634,3,3,771,2,-131072,5,0.99925,True,True,True
22635,3,4,772,3,-131073,2,0.99927,True,True,True
22638,3,4,772,2,-131072,1,0.99768,True,True,True
22639,3,5,773,3,-131073,2,0.99738,True,True,True
22644,3,4,772,0,131072,2,0.99997,True,True,True
22646,3,4,772,2,-131072,1,0.99846,True,True,True
22648,3,4,772,0,131072,2,0.99833,True,True,True
22651,3,5,773,3,-131073,1,0.99752,True,True,True
22655,3,5,773,3,-131073,4,0.99989,True,True,True
22659,3,6,774,3,-131073,3,0.99955,True,True,True
22661,3,6,774,1,131071,0,0.99914,True,True,True
22664,3,4,772,0,131072,2,0.99841,True,True,True
22665,3,6,774,1,131071,1,0.99905,True,True,True
22666,3,4,772,2,-131072,3,0.99966,True,True,True
22670,3,4,772,2,-131072,1,0.9969,True,True,True
22675,3,6,774,3,-131073,0,0.99991,True,True,True
22680,3,5,773,0,131072,1,0.9966,True,True,True
22684,3,5,773,0,131072,0,0.99538,True,True,True
22687,3,6,774,3,-131073,5,0.99964,True,True,True
22690,3,5,773,2,-131072,1,0.99703,True,True,True
